2024-04-03 00:00:18.264 [http-nio-8181-exec-25] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"oid_partner":"402402220000016691","timestamp":"20240403000018","user_id":"gz0002","user_type":"INNERCOMPANY"}，对应MD5值：d96f673efae2be0cb5777f90293ef89b
2024-04-03 00:00:18.286 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpapi.lianlianpay.com/v1/acctmgr/query-acctinfo
2024-04-03 00:00:18.287 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：co6e9Hdo9Q1p+AIkoyG8Wl2vsCkpuT2csBx1pZdPn0tGPHZ1pXXILkb1VlHTJr/OE/loqY6BD7qMuRVU/FZ/FA53OzEK+ThuJMObhLZErvLNPDf/ujc4Mer6boV2XhTrFSKxmQitq9Uf6rPPoj/t2g7otBWJicle7TSx78GibqVb/VB2E4msMqoSabYoSDvC2b7Z6QV/En0LolyN6I9GJV6gdPNHsMGtAuvS9cfFAaqMWZbe06rcwX3vnJ5bwQPvcVK/RDZmSQPA8pIjw8U9RY/jNJbIYJveQWKTJvXMcmH2YeW2TqXU4JE+bGZsSAHcI42TWTLgbjRha62Q6+24H0tUs+d2qdMp2qPJWFnfEr+9S/HHV3CFpVT4a0NxF/z2Q5wF9+k9B1zWBUZw4O5Xk8jnzt1f6ichxoGnTJX8KHuEisxVaYP797wa43cHFCZzxDIedwwHzYxAPNL1ptEA55VmVdm1pWlCfQNfqj6O0+s5dpzBdZe11BeSZppAD/NQv28nQH1VQ9oxwi/RU8JnMg1BIb6mK7D+WE8ZURCooTJwWUf1D8avmYjHFHxQZmFD/211jR6OMoVRXsgJd/CTut9WNVprnA+jlP605OjpZqphl2iqCwhroNBMVeMKs6zsGALLcSom0SanOtiVYe9glBenYoWXwXyGlpDu6FEMQv8=
2024-04-03 00:00:18.298 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"oid_partner":"402402220000016691","timestamp":"20240403000018","user_id":"gz0002","user_type":"INNERCOMPANY"}
2024-04-03 00:00:18.451 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"acctinfo_list":[{"acct_state":"NORMAL","acct_type":"USEROWN_AVAILABLE","amt_balaval":"2.01","amt_balcur":"2.01","amt_balfrz":"0.00","amt_lastaval":"2.01","amt_lastbal":"2.01","amt_lastfrz":"0.00","oid_acctno":"20240305000099561455"},{"acct_state":"NORMAL","acct_type":"USEROWN_PSETTLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099561458"}],"bank_account":"2527408771487222","oid_partner":"402402220000016691","oid_userno":"2024030577141027","ret_code":"0000","ret_msg":"交易成功","user_id":"gz0002"}
2024-04-03 00:00:18.451 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：WV34BA0LVFRMPQW8dPF91K0tP9i9wZr/MQCChIuH4Ew//sK2lUzYeK7cCrD1MS6NoACgyjxXjfh61c4ndIBj27eZROePfMyxgffYdpDPNWTE+Rguc+WwzdFwEoWUTYFOab18XeqfaIiQBfTJs6lmBgOnpaVt0cixXpfuaew97ug=
2024-04-03 00:00:18.451 [http-nio-8181-exec-25] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"acctinfo_list":[{"acct_state":"NORMAL","acct_type":"USEROWN_AVAILABLE","amt_balaval":"2.01","amt_balcur":"2.01","amt_balfrz":"0.00","amt_lastaval":"2.01","amt_lastbal":"2.01","amt_lastfrz":"0.00","oid_acctno":"20240305000099561455"},{"acct_state":"NORMAL","acct_type":"USEROWN_PSETTLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099561458"}],"bank_account":"2527408771487222","oid_partner":"402402220000016691","oid_userno":"2024030577141027","ret_code":"0000","ret_msg":"交易成功","user_id":"gz0002"}，对应MD5值：6909ccbe1ec7494fc23dee1bbe6bf835
2024-04-03 00:00:18.452 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:00:18.452 [http-nio-8181-exec-25] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"acct_type":"USEROWN","oid_partner":"402402220000016691","timestamp":"20240403000018","user_id":"gz0002","user_type":"USER"}，对应MD5值：f6ac777fbea4e2e9f2879ca3b7f32a89
2024-04-03 00:00:18.471 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpquery.lianlianpay.com/v1/lzt/query-acctinfo
2024-04-03 00:00:18.471 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：TtXzansLgL6PB7V7W6/EeL3NeXOFMzlHObrDcKiW8D7PItyJfg/oByGQ12qQyrGeeTmFnp5liG348+Y6au2A/C+Q3pvn1dQlwaZHv4jvNmHm3TPjiIXo0Bnw2fxKn/SyuKKo2nfIpQFFMjEJCb6qInO8VZuKJqCpkRpI2205gcguYCvoWzLPPdX+x/nGsU11XRCA/Ic61pkbFlZVzo/Yh4fgv4gix6VbadwSlzvduJOvwsn/t5W1Re0zD05OtAUQsEx155IzwznnVksgeKdaDjHJiM00Fg70YkMlWs3fMIB1OeKpt8krSCvSPWxwHQf8r8A/cyX0gAUS6CHKhzHmtPk/LvHPNCx6Bc8ZgK8c6VcWtJOWkGEcshA5Jy3xYc2sQw0K6ayj+jLBi8ArcWXl4hiocnk5Oidjq9tcQCDUdBO+Dce13aqfg1JWqq0Gua2hFY413OCsjKqXND4MeR5/bcvvNNRu8YRs1RZiCg/a+EmHD/r9Ra8j9ygHKcynkPWAxvwPM+xbjZn54hgDDZ6e2UemeKBC2V7DjxF5mXIoHYUjMcpswUW1opDf2RxFqkmf/uUXCFPJDVds0JzRJbm9Me7ck4/hhEgKDruoxUshR5efiNzoYGQS+vVpAhJF4MJ3yj8A/smKkUvGFvKpJrvJk4AFb0PlfdMsWXBWpei1Z3s=
