2023-12-14 00:29:42.901 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 14628 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:29:42.903 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:29:44.356 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:29:44.359 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:29:44.381 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2023-12-14 00:29:46.035 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:29:46.045 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:29:46.046 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:29:46.047 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:29:46.311 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:29:46.317 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:29:46.317 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3365 ms
2023-12-14 00:29:52.978 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:29:53.953 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:29:53.957 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:30:23.445 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 17308 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:30:23.448 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:30:24.940 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:30:24.943 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:30:24.968 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2023-12-14 00:30:26.538 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:30:26.546 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:30:26.547 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:30:26.547 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:30:26.824 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:30:26.829 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:30:26.830 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3334 ms
2023-12-14 00:30:33.603 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:30:34.488 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:30:34.492 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:33:22.818 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 6292 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:33:22.818 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:33:24.164 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:33:24.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:33:24.188 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2023-12-14 00:33:25.673 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:33:25.681 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:33:25.682 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:33:25.682 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:33:25.970 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:33:25.975 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:33:25.976 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3114 ms
2023-12-14 00:33:26.293 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:33:26.333 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:33:50.538 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 8780 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:33:50.539 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:33:51.926 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:33:51.928 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:33:51.948 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2023-12-14 00:33:53.458 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:33:53.469 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:33:53.469 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:33:53.470 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:33:53.715 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:33:53.721 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:33:53.721 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3133 ms
2023-12-14 00:34:00.976 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:34:01.958 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:34:01.961 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:35:45.846 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 22600 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:35:45.847 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:35:47.293 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:35:47.295 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:35:47.317 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
